,score,remaining_marbles,moves
10,22,8,"[((3, 5), (3, 3)), ((5, 5), (3, 5)), ((1, 4), (3, 4)), ((1, 2), (1, 4)), ((1, 5), (1, 3)), ((2, 6), (2, 4)), ((4, 6), (2, 6)), ((4, 3), (4, 5)), ((6, 4), (4, 4)), ((4, 1), (4, 3)), ((6, 2), (4, 2)), ((3, 2), (1, 2)), ((3, 0), (3, 2)), ((1, 1), (3, 1)), ((0, 2), (2, 2)), ((3, 5), (5, 5)), ((4, 3), (4, 1)), ((4, 0), (4, 2)), ((2, 3), (2, 1)), ((0, 3), (2, 3)), ((2, 0), (2, 2)), ((6, 3), (4, 3)), ((4, 3), (4, 5)), ((2, 3), (4, 3)), ((5, 5), (3, 5)), ((3, 1), (3, 3)), ((2, 4), (4, 4)), ((3, 3), (5, 3))]"
11,23,8,"[((3, 5), (3, 3)), ((5, 5), (3, 5)), ((1, 4), (3, 4)), ((1, 2), (1, 4)), ((1, 5), (1, 3)), ((2, 6), (2, 4)), ((4, 6), (2, 6)), ((4, 3), (4, 5)), ((6, 4), (4, 4)), ((4, 1), (4, 3)), ((6, 2), (4, 2)), ((3, 2), (1, 2)), ((3, 0), (3, 2)), ((1, 1), (3, 1)), ((0, 2), (2, 2)), ((3, 5), (5, 5)), ((4, 3), (4, 1)), ((4, 0), (4, 2)), ((2, 3), (2, 1)), ((0, 3), (2, 3)), ((2, 0), (2, 2)), ((6, 3), (4, 3)), ((4, 3), (4, 5)), ((2, 3), (4, 3)), ((5, 5), (3, 5)), ((3, 5), (3, 3)), ((3, 2), (3, 0)), ((3, 3), (5, 3))]"
12,21,8,"[((3, 5), (3, 3)), ((5, 5), (3, 5)), ((1, 4), (3, 4)), ((1, 2), (1, 4)), ((1, 5), (1, 3)), ((2, 6), (2, 4)), ((4, 6), (2, 6)), ((4, 3), (4, 5)), ((6, 4), (4, 4)), ((4, 1), (4, 3)), ((6, 2), (4, 2)), ((3, 2), (1, 2)), ((3, 0), (3, 2)), ((1, 1), (3, 1)), ((0, 2), (2, 2)), ((3, 5), (5, 5)), ((4, 3), (4, 1)), ((4, 0), (4, 2)), ((2, 3), (2, 1)), ((0, 3), (2, 3)), ((2, 0), (2, 2)), ((6, 3), (4, 3)), ((4, 3), (4, 5)), ((2, 3), (4, 3)), ((5, 5), (3, 5)), ((3, 5), (3, 3)), ((3, 2), (3, 0)), ((4, 2), (4, 4))]"
13,20,8,"[((3, 5), (3, 3)), ((5, 5), (3, 5)), ((1, 4), (3, 4)), ((1, 2), (1, 4)), ((1, 5), (1, 3)), ((2, 6), (2, 4)), ((4, 6), (2, 6)), ((4, 3), (4, 5)), ((6, 4), (4, 4)), ((4, 1), (4, 3)), ((6, 2), (4, 2)), ((3, 2), (1, 2)), ((3, 0), (3, 2)), ((1, 1), (3, 1)), ((0, 2), (2, 2)), ((3, 5), (5, 5)), ((2, 3), (2, 5)), ((0, 4), (0, 2)), ((2, 6), (2, 4)), ((4, 3), (4, 1)), ((4, 0), (4, 2)), ((3, 4), (5, 4)), ((6, 3), (4, 3)), ((5, 5), (5, 3)), ((4, 3), (2, 3)), ((1, 3), (3, 3)), ((3, 2), (3, 0)), ((2, 0), (4, 0))]"
14,20,8,"[((3, 5), (3, 3)), ((5, 5), (3, 5)), ((1, 4), (3, 4)), ((1, 2), (1, 4)), ((1, 5), (1, 3)), ((2, 6), (2, 4)), ((4, 6), (2, 6)), ((4, 3), (4, 5)), ((6, 4), (4, 4)), ((4, 1), (4, 3)), ((6, 2), (4, 2)), ((3, 2), (1, 2)), ((3, 0), (3, 2)), ((1, 1), (3, 1)), ((0, 2), (2, 2)), ((3, 5), (5, 5)), ((2, 3), (2, 5)), ((0, 4), (0, 2)), ((2, 6), (2, 4)), ((4, 3), (4, 1)), ((4, 0), (4, 2)), ((3, 4), (5, 4)), ((6, 3), (4, 3)), ((5, 5), (5, 3)), ((4, 3), (2, 3)), ((1, 3), (3, 3)), ((3, 2), (3, 0)), ((2, 0), (4, 0))]"
15,20,8,"[((3, 5), (3, 3)), ((5, 5), (3, 5)), ((1, 4), (3, 4)), ((1, 2), (1, 4)), ((1, 5), (1, 3)), ((2, 6), (2, 4)), ((4, 6), (2, 6)), ((4, 3), (4, 5)), ((6, 4), (4, 4)), ((4, 1), (4, 3)), ((6, 2), (4, 2)), ((3, 2), (1, 2)), ((3, 0), (3, 2)), ((1, 1), (3, 1)), ((0, 2), (2, 2)), ((3, 5), (5, 5)), ((2, 3), (2, 5)), ((0, 4), (0, 2)), ((2, 6), (2, 4)), ((4, 3), (4, 1)), ((4, 0), (4, 2)), ((3, 4), (5, 4)), ((6, 3), (4, 3)), ((5, 5), (5, 3)), ((4, 3), (2, 3)), ((1, 3), (3, 3)), ((3, 2), (3, 0)), ((2, 0), (4, 0))]"
16,20,8,"[((3, 5), (3, 3)), ((5, 5), (3, 5)), ((1, 4), (3, 4)), ((1, 2), (1, 4)), ((1, 5), (1, 3)), ((2, 6), (2, 4)), ((4, 6), (2, 6)), ((4, 3), (4, 5)), ((6, 4), (4, 4)), ((4, 1), (4, 3)), ((6, 2), (4, 2)), ((3, 2), (1, 2)), ((3, 0), (3, 2)), ((1, 1), (3, 1)), ((0, 2), (2, 2)), ((3, 5), (5, 5)), ((2, 3), (2, 5)), ((0, 4), (0, 2)), ((2, 6), (2, 4)), ((4, 3), (4, 1)), ((4, 0), (4, 2)), ((3, 4), (5, 4)), ((6, 3), (4, 3)), ((5, 5), (5, 3)), ((4, 3), (2, 3)), ((1, 3), (3, 3)), ((3, 2), (3, 0)), ((2, 0), (4, 0))]"
17,20,8,"[((3, 5), (3, 3)), ((5, 5), (3, 5)), ((1, 4), (3, 4)), ((1, 2), (1, 4)), ((1, 5), (1, 3)), ((2, 6), (2, 4)), ((4, 6), (2, 6)), ((4, 3), (4, 5)), ((6, 4), (4, 4)), ((4, 1), (4, 3)), ((6, 2), (4, 2)), ((3, 2), (1, 2)), ((3, 0), (3, 2)), ((1, 1), (3, 1)), ((0, 2), (2, 2)), ((3, 5), (5, 5)), ((2, 3), (2, 5)), ((0, 4), (0, 2)), ((2, 6), (2, 4)), ((4, 3), (4, 1)), ((4, 0), (4, 2)), ((3, 4), (5, 4)), ((6, 3), (4, 3)), ((5, 5), (5, 3)), ((4, 3), (2, 3)), ((1, 3), (3, 3)), ((3, 2), (3, 0)), ((2, 0), (4, 0))]"
18,17,7,"[((3, 5), (3, 3)), ((5, 5), (3, 5)), ((1, 4), (3, 4)), ((1, 2), (1, 4)), ((1, 5), (1, 3)), ((2, 6), (2, 4)), ((4, 6), (2, 6)), ((4, 3), (4, 5)), ((6, 4), (4, 4)), ((4, 1), (4, 3)), ((6, 2), (4, 2)), ((3, 2), (1, 2)), ((3, 0), (3, 2)), ((1, 1), (3, 1)), ((0, 2), (2, 2)), ((3, 5), (5, 5)), ((4, 3), (4, 1)), ((4, 0), (4, 2)), ((2, 3), (2, 1)), ((0, 3), (2, 3)), ((2, 0), (2, 2)), ((6, 3), (4, 3)), ((4, 3), (4, 5)), ((2, 3), (4, 3)), ((5, 5), (3, 5)), ((3, 5), (3, 3)), ((3, 2), (5, 2)), ((5, 1), (5, 3)), ((4, 3), (6, 3))]"
19,19,7,"[((3, 5), (3, 3)), ((5, 5), (3, 5)), ((1, 4), (3, 4)), ((1, 2), (1, 4)), ((1, 5), (1, 3)), ((2, 6), (2, 4)), ((4, 6), (2, 6)), ((4, 3), (4, 5)), ((6, 4), (4, 4)), ((4, 1), (4, 3)), ((6, 2), (4, 2)), ((3, 2), (1, 2)), ((3, 0), (3, 2)), ((1, 1), (3, 1)), ((0, 2), (2, 2)), ((3, 5), (5, 5)), ((4, 3), (4, 1)), ((4, 0), (4, 2)), ((2, 3), (2, 1)), ((0, 3), (2, 3)), ((2, 0), (2, 2)), ((6, 3), (4, 3)), ((4, 3), (4, 5)), ((2, 3), (4, 3)), ((5, 5), (3, 5)), ((3, 1), (3, 3)), ((4, 3), (2, 3)), ((3, 5), (3, 3)), ((2, 3), (2, 1))]"
